district,period,year,quarter,date,price_sqm_sale,price_sqm_rental,log_price_sale,price_growth_qoq,price_growth_yoy,ine_transaction_count_national,ine_transaction_value_thousands_national,ine_price_value_index_national,ine_volume_index_national,mortgage_rate_fixed_pct_national,fdi_realestate_transactions_meur_national,fdi_realestate_stock_meur_national,fdi_total_stock_meur_national,construction_cost_yoy_growth_pct_national,population_national,unemployment_rate_pct_regional
lisboa,3T2020,2020,3,2020-07-01,3240.6666666666665,13.4,8.083534348937292,-0.014795297932711837,0.03271722965795609,35596.0,5427603.0,126.10752326248976,157.31474218033566,2.08,352.27,21646.48,150377.77,2.1333333333333333,10384846.0,8.200000000000001
lisboa,4T2020,2020,4,2020-10-01,3271.0,13.200000000000001,8.092851027538384,0.009360213947747331,0.021868166198063088,39139.0,6098441.0,128.86744612614154,172.97285352837838,2.1266666666666665,488.87,22135.35,150377.77,2.1,10384846.0,7.300000000000001
lisboa,1T2021,2021,1,2021-01-01,3370.0,13.0,8.122668023346407,0.03026597370834616,0.031422158743113604,34614.0,5595240.0,133.69065495381548,152.97484228087814,1.9566666666666668,345.02,22480.37,164176.4,1.9000000000000001,,7.2
lisboa,2T2021,2021,2,2021-04-01,3425.3333333333335,12.800000000000002,8.138954069561665,0.01641938674579624,0.04134576408593427,41736.0,6933006.0,137.38675721914424,184.45016517694373,2.1933333333333334,512.35,22992.72,164176.4,2.866666666666667,,6.9
lisboa,3T2021,2021,3,2021-07-01,3532.3333333333335,12.699999999999998,8.169713932506726,0.03123783573374861,0.09000205718987875,43447.0,7345978.0,139.83759623515712,192.0118441259985,2.18,570.74,23563.46,164176.4,4.033333333333334,,6.300000000000001
lisboa,4T2021,2021,4,2021-10-01,3656.6666666666665,12.699999999999998,8.204307264601166,0.03519864112484661,0.11790482013655357,45885.0,8225207.0,148.2552976019511,202.7864632246517,2.1533333333333333,700.74,24264.2,164176.4,5.300000000000001,,6.300000000000001
lisboa,1T2022,2022,1,2022-01-01,3717.3333333333335,12.933333333333332,8.220761844332195,0.01659070191431189,0.10306627101879329,43544.0,8081797.0,153.50189341648706,192.44053077594492,2.3266666666666667,615.95,24880.15,175732.61,6.766666666666667,10764411.0,6.0
lisboa,2T2022,2022,2,2022-04-01,3779.3333333333335,13.4,8.23730290621614,0.016678622668579557,0.10334760607240168,43607.0,8287705.0,157.1853964180325,192.71895612591013,2.98,1047.15,25927.3,175732.61,8.666666666666666,10764411.0,5.9
lisboa,3T2022,2022,3,2022-07-01,3802.0,14.200000000000001,8.243282523048375,0.0059975304286470354,0.0763423610455789,42223.0,8051492.0,157.71078703058802,186.6024373266747,3.2266666666666666,738.85,26666.15,175732.61,10.333333333333334,10764411.0,5.9
lisboa,4T2022,2022,4,2022-10-01,3789.0,15.800000000000002,8.239857411018601,-0.0034192530247237896,0.036189608021877984,38526.0,7362219.0,158.04797371910158,170.26373067871702,3.9066666666666667,762.23,27428.38,175732.61,11.566666666666668,10764411.0,6.7
lisboa,1T2023,2023,1,2023-01-01,3809.6666666666665,16.833333333333332,8.245296975229488,0.005454385501891368,0.024838593974174872,34493.0,6857332.0,164.42139501587408,152.440088830945,4.003333333333333,850.7,28279.08,192753.71,,11067026.0,7.2
lisboa,2T2023,2023,2,2023-04-01,3849.6666666666665,17.633333333333336,8.255741843446978,0.010499606264765093,0.01860998412418402,33624.0,6904628.0,169.83415260390527,148.59958678142505,4.073333333333333,1030.38,29309.46,192753.71,,11067026.0,6.1000000000000005
