district,quarter,price_sqm_sale,log_price,price_growth_qoq,price_growth_yoy,transaction_count,transaction_value_thousands,avg_transaction_value,value_index,volume_index,mortgage_rate_fixed,fdi_real_estate_transactions_meur
braganca,2015Q2,694.0,6.542471960506805,0.009167736103662172,,20614,2509888,121756.47618123604,100.69923957118108,91.10254228861218,,297.14
braganca,2015Q3,698.0,6.548219102762372,0.0057471422555677165,,22928,2697752,117661.89811584089,97.31280042246271,101.32914958733386,,319.68
braganca,2015Q4,669.0,6.505784060128229,-0.04243504263414355,,25205,3071762,121871.13667923032,100.79407005017497,111.39223723607596,,405.34
braganca,2016Q1,662.3333333333334,6.495768953883707,-0.010015106244521732,-0.03753527051943539,24926,3001077,120399.46240872984,99.57691524589762,110.1592106862301,,434.9
braganca,2016Q2,679.0,6.520621127558696,0.024852173674989153,-0.021850832948108412,26890,3267885,121527.89140944587,100.5101875107177,118.83901048514512,,401.38
braganca,2016Q3,685.3333333333334,6.529905337906946,0.00928421034825,-0.01831376485542613,26675,3173236,118959.17525773196,98.38571929954205,117.8888287352639,,331.47
braganca,2016Q4,684.6666666666666,6.528932101820394,-0.0009732360865521983,0.023148041692165222,28999,3551512,122470.15414324631,101.2894901297318,128.15963053398005,,408.85
braganca,2017Q1,698.0,6.548219102762372,0.019287000941978327,0.05245014887866528,29975,3800102,126775.7130942452,104.85042196590872,132.4730137334409,,489.78
braganca,2017Q2,694.0,6.542471960506805,-0.0057471422555677165,0.021850832948108412,31197,4021419,128904.02923358016,106.61065537213086,137.8735816327658,,370.69
braganca,2017Q3,677.6666666666666,6.518655524960237,-0.02381643554656776,-0.011249812946709348,32722,4258992,130156.83637919444,107.64679513938984,144.61324288192336,,384.08
braganca,2017Q4,668.3333333333334,6.50478705107256,-0.01386847388767709,-0.02414505074783424,35940,4898678,136301.55815247635,112.72881483438267,158.83503298014563,,440.43
braganca,2018Q1,674.3333333333334,6.513724548499636,0.008937497427075947,-0.03449455426273662,34449,4755125,138033.76005109,114.16144018167434,152.2456330309693,,495.45
braganca,2018Q2,675.3333333333334,6.515206396140519,0.001481847640882883,-0.02726556436628602,38730,5425227,140078.15646785437,115.8522674050557,171.16529847860434,,514.24
braganca,2018Q3,692.3333333333334,6.540067535208003,0.024861139067484217,0.021412010247765956,38964,5512302,141471.66615337235,117.00477583884005,172.19944977847507,,434.61
braganca,2018Q4,693.0,6.541029999189903,0.0009624639819003633,0.03624294811734341,39066,5414883,138608.58547074182,114.63685212246476,172.65023367841872,2.64,498.33
braganca,2019Q1,701.6666666666666,6.553458457448372,0.012428458258468389,0.03973390894873585,36954,5261090,142368.62044704228,117.7466059092851,163.31635527958545,2.8666666666666667,445.76
braganca,2019Q2,725.0,6.586171654854675,0.032713197406303074,0.07096525871415604,36681,5414806,147618.82173332243,122.08880842455076,162.10984542973628,3.1566666666666667,415.35
braganca,2019Q3,732.6666666666666,6.5966908462954565,0.010519191440781839,0.056623311087453665,39554,5800028,146635.68792031147,121.2757031962132,174.80692527814915,2.4133333333333336,418.47
braganca,2019Q4,738.3333333333334,6.604395393811126,0.007704547515669624,0.06336539462122293,41676,6136268,147237.45081101832,121.77339389322496,184.18499817697688,2.1866666666666665,490.46
braganca,2020Q1,739.0,6.6052979209482015,0.0009025271370752819,0.05183946349982982,36399,5785538,158947.71834391056,131.4584231641285,160.86356052989206,2.21,468.51
braganca,2020Q2,748.3333333333334,6.617848511508245,0.012550590560043595,0.03167685665357034,26379,4125502,156393.41900754388,129.34587844472952,116.5806715354274,2.21,274.49
braganca,2020Q3,779.6666666666666,6.658866477916069,0.04101796640782407,0.06217563162061257,35596,5427603,152477.8907742443,126.10752326248976,157.31474218033566,2.08,352.27
braganca,2020Q4,763.0,6.637258031284457,-0.02160844663161221,0.032862637473330736,39139,6098441,155814.94161833465,128.86744612614154,172.97285352837838,2.1266666666666665,488.87
braganca,2021Q1,774.3333333333334,6.652002444102299,0.014744412817842445,0.0467045231540979,34614,5595240,161646.7325359681,133.69065495381548,152.97484228087814,1.9566666666666668,345.02
braganca,2021Q2,749.0,6.618738983517219,-0.03326346058508012,0.0008904720089741858,41736,6933006,166115.7274295572,137.38675721914424,184.45016517694373,2.1933333333333334,512.35
braganca,2021Q3,749.3333333333334,6.6191839223454725,0.0004449388282532496,-0.039682555570596634,43447,7345978,169079.0618454669,139.83759623515712,192.0118441259985,2.18,570.74
braganca,2021Q4,770.3333333333334,6.646823321606271,0.027639399260798392,0.009565290321813968,45885,8225207,179256.99030184155,148.2552976019511,202.7864632246517,2.1533333333333333,700.74
