district,quarter,period,year,quarter,date,price_sqm_sale,price_sqm_rental,log_price,price_growth_qoq,price_growth_yoy,transaction_count,transaction_value_thousands,value_index,volume_index,mortgage_rate_fixed,fdi_real_estate_transactions_meur,fdi_realestate_stock_meur_national,fdi_total_stock_meur_national,construction_cost_yoy_growth_pct_national,population_national,unemployment_rate_pct_regional,log_price_lag1,t
azores,2024-01-01,1T2024,2024,2024Q1,2024-01-01,1405.8333333333333,8.766666666666666,7.248385525752013,0.028784156693983043,0.10304919728762751,33077.0,6730533.0,168.28967248471187,146.18214763172722,3.813333333333333,664.25,31967.15,201383.75,,11295785.0,6.7,7.21960136905803,36
azores,2024-04-01,2T2024,2024,2024Q2,2024-04-01,1385.388888888889,,7.233736165409735,-0.01464936034227815,0.11804573206607216,37125.0,7876682.0,175.47327047702692,164.072081229491,3.87,863.79,32830.94,201383.75,,11295785.0,5.5,7.248385525752013,37
azores,2024-07-01,3T2024,2024,2024Q3,2024-07-01,1441.3333333333333,,7.273323890090989,0.03958772468125371,0.1316565818668991,40909.0,9052016.0,183.003994750677,180.7952800274006,3.673333333333334,962.02,33792.96,201383.75,,11295785.0,4.9,7.233736165409735,38
azores,2024-10-01,4T2024,2024,2024Q4,2024-10-01,1424.111111111111,9.9,7.261303116393605,-0.01202077369738408,0.041701747335574524,45214.0,10173942.0,186.10174614443363,199.8210122750224,3.41,1048.07,34841.03,201383.75,,11295785.0,5.4,7.273323890090989,39
azores,2025-01-01,1T2025,2025,2025Q1,2025-01-01,1485.111111111111,10.466666666666669,7.303244870734796,0.04194175434119085,0.05485934498278233,41358.0,9617638.0,192.3282226547581,182.77961307715256,3.4499999999999997,968.9,35809.93,213730.82,,11405627.0,5.7,7.261303116393605,40
beja,2015-01-01,1T2015,2015,2015Q1,2015-01-01,792.3333333333334,3.9,6.674982178692084,,,21762.0,2662680.0,101.19388995618124,96.176070887978,,319.12,12554.79,125514.7,0.7000000000000001,10381838.0,14.2,,0
beja,2015-04-01,2T2015,2015,2015Q2,2015-04-01,824.3333333333334,,6.714574978853307,0.03959280016122246,,20614.0,2509888.0,100.69923957118108,91.10254228861218,,297.14,12851.93,125514.7,0.8333333333333334,10381838.0,12.4,6.674982178692084,1
beja,2015-07-01,3T2015,2015,2015Q3,2015-07-01,813.3333333333334,4.05,6.701141029619138,-0.01343394923416863,,22928.0,2697752.0,97.31280042246271,101.32914958733386,,319.68,13171.62,125514.7,1.1333333333333335,10381838.0,12.3,6.714574978853307,2
beja,2015-10-01,4T2015,2015,2015Q4,2015-10-01,814.6666666666666,4.166666666666667,6.702779031623376,0.0016380020042383592,,25205.0,3071762.0,100.79407005017497,111.39223723607596,,405.34,13576.96,125514.7,1.2000000000000002,10381838.0,12.5,6.701141029619138,3
beja,2016-01-01,1T2016,2016,2016Q1,2016-01-01,834.6666666666666,4.2,6.727032443551879,0.02425341192850272,0.052050264859794915,24926.0,3001077.0,99.57691524589762,110.1592106862301,,434.9,14011.86,127838.92,1.3666666666666665,10356516.0,12.8,6.702779031623376,4
beja,2016-04-01,2T2016,2016,2016Q2,2016-04-01,824.3333333333334,4.133333333333333,6.714574978853307,-0.012457464698572451,0.0,26890.0,3267885.0,100.5101875107177,118.83901048514512,,401.38,14413.24,127838.92,1.3666666666666665,10356516.0,11.2,6.727032443551879,5
beja,2016-07-01,3T2016,2016,2016Q3,2016-07-01,806.6666666666666,4.3,6.692910530482623,-0.021664448370684042,-0.008230499136515412,26675.0,3173236.0,98.38571929954205,117.8888287352639,,331.47,14744.71,127838.92,1.2000000000000002,10356516.0,10.9,6.714574978853307,6
beja,2016-10-01,4T2016,2016,2016Q4,2016-10-01,783.6666666666666,4.166666666666667,6.66398375987196,-0.028926770610662622,-0.038795271751416394,28999.0,3551512.0,101.2894901297318,128.15963053398005,,408.85,15153.56,127838.92,1.2000000000000002,10356516.0,10.8,6.692910530482623,7
beja,2017-01-01,1T2017,2017,2017Q1,2017-01-01,766.6666666666666,4.633333333333333,6.6420521132491315,-0.021931646622828538,-0.08498033030274765,29975.0,3800102.0,104.85042196590872,132.4730137334409,,489.78,15643.34,138586.19,1.2666666666666668,10340124.0,10.4,6.66398375987196,8
beja,2017-04-01,2T2017,2017,2017Q2,2017-04-01,776.0,4.4,6.654152520183219,0.012100406934087538,-0.060422458670087664,31197.0,4021419.0,106.61065537213086,137.8735816327658,,370.69,16014.03,138586.19,1.3333333333333333,10340124.0,9.1,6.6420521132491315,9
beja,2017-07-01,3T2017,2017,2017Q3,2017-07-01,769.0,4.2,6.645090969505644,-0.009061550677574637,-0.04781956097697826,32722.0,4258992.0,107.64679513938984,144.61324288192336,,384.08,16398.1,138586.19,1.5,10340124.0,8.8,6.654152520183219,10
beja,2017-10-01,4T2017,2017,2017Q4,2017-10-01,774.6666666666666,,6.6524328293036925,0.007341859798048134,-0.011550930568267503,35940.0,4898678.0,112.72881483438267,158.83503298014563,,440.43,16838.54,138586.19,1.7666666666666668,10340124.0,8.3,6.645090969505644,11
